timestep,reward,length,violations,thrust,sfc,T4
66600,-76.918091,200,43,5043.6125,0.5895333364605904,2739.752685546875
66800,129.640146,200,5,5043.6125,0.5895333364605904,2739.752685546875
67000,-308.92014,200,79,5043.6125,0.5895333364605904,2739.752685546875
67200,141.152159,200,3,10360.400000000001,0.648949146270752,2784.12109375
67400,-367.175891,200,86,5043.6125,0.5895333364605904,2739.752685546875
67600,-242.850103,200,60,5043.6125,0.5895333364605904,2739.752685546875
67800,-126.39964,200,44,5093.6203125,0.592617467045784,2739.9658203125
68000,70.106821,200,22,10360.400000000001,0.648949146270752,2784.12109375
68200,189.394729,200,2,5043.6125,0.5895333364605904,2739.752685546875
68400,11.315698,200,39,5134.8546875,0.5941923335194588,2740.11376953125
68600,140.304882,200,18,5166.8890625,0.5949049815535545,2740.21435546875
68800,-170.361633,200,59,10360.400000000001,0.648949146270752,2784.12109375
69000,189.489051,200,1,10360.400000000001,0.648949146270752,2784.12109375
69200,-404.921557,200,91,5043.6125,0.5895333364605904,2739.752685546875
69400,-61.663068,200,41,5043.6125,0.5895333364605904,2739.752685546875
69600,-185.762998,200,62,10360.400000000001,0.648949146270752,2784.12109375
69800,-43.952712,200,44,5115.825000000001,0.5935642123222351,2740.04833984375
70000,9.234982,200,30,5043.6125,0.5895333364605904,2739.752685546875
70200,-129.863536,200,43,5109.959375,0.5933373421430588,2740.02734375
70400,54.98518,200,22,5043.6125,0.5895333364605904,2739.752685546875
70600,-210.142493,200,55,10360.400000000001,0.648949146270752,2784.12109375
70800,-406.700476,200,93,10360.400000000001,0.648949146270752,2784.12109375
71000,-66.742906,200,48,5043.610937500001,0.5895335227251053,2739.752685546875
71200,-55.934158,200,31,5043.6125,0.5895333364605904,2739.752685546875
71400,-148.957581,200,54,5043.6125,0.5895333364605904,2739.752685546875
71600,-25.131025,200,35,5043.6125,0.5895333364605904,2739.752685546875
71800,-393.334068,200,92,10360.400000000001,0.648949146270752,2784.12109375
72000,-301.930183,200,63,10360.396875,0.6489497423171997,2784.12109375
72200,198.113588,200,1,5043.6125,0.5895333364605904,2739.752685546875
72400,-48.753155,200,47,5043.6125,0.5895333364605904,2739.752685546875
72600,-72.222257,200,42,5043.6125,0.5895333364605904,2739.752685546875
72800,-57.93077,200,34,5043.6125,0.5895333364605904,2739.752685546875
73000,127.331433,200,4,5043.6125,0.5895333364605904,2739.752685546875
73200,104.424865,200,14,5043.6125,0.5895333364605904,2739.752685546875
73400,136.687325,200,2,10360.400000000001,0.648949146270752,2784.12109375
73600,-216.996378,200,69,5043.6125,0.5895333364605904,2739.752685546875
73800,171.33747,200,12,5043.6125,0.5895333364605904,2739.752685546875
74000,-82.796489,200,45,10360.3984375,0.64894899725914,2784.12109375
74200,-272.075782,200,71,10360.400000000001,0.648949146270752,2784.12109375
74400,-11.698238,200,26,10360.400000000001,0.648949146270752,2784.12109375
74600,201.36762,200,6,5043.6125,0.5895333364605904,2739.752685546875
74800,-448.299686,200,99,5044.001562500001,0.5895628780126572,2739.754638671875
75000,142.402191,200,2,5044.009375000001,0.5895638465881348,2739.754638671875
75200,-106.127695,200,39,10360.400000000001,0.648949146270752,2784.12109375
75400,253.976518,200,0,5044.009375000001,0.5895643308758736,2739.754638671875
75600,-19.588431,200,28,5043.6125,0.5895333364605904,2739.752685546875
75800,-48.955954,200,31,5043.6125,0.5895333364605904,2739.752685546875
76000,-175.680132,200,58,10360.400000000001,0.648949146270752,2784.12109375
76200,200.154417,200,1,5043.6125,0.5895333364605904,2739.752685546875
76400,-270.268509,200,73,5043.6125,0.5895333364605904,2739.752685546875
76600,194.564029,200,2,5043.6125,0.5895333364605904,2739.752685546875
76800,101.728823,200,15,5044.114062500001,0.5895721912384033,2739.755126953125
77000,-507.630466,200,116,5043.6125,0.5895333364605904,2739.752685546875
